"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",9937689.000000,4436222878283123,4436222878880049
1,1,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222878283123,4436222878880049
2,2,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",8525259.000000,4436222881021235,4436222881537120
2,2,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222881021235,4436222881537120
3,3,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7915889.000000,4436222883384361,4436222883883141
3,3,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222883384361,4436222883883141
4,4,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7993607.000000,4436222885578066,4436222886082654
4,4,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222885578066,4436222886082654
5,5,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7981879.000000,4436222887712322,4436222888213706
5,5,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222887712322,4436222888213706
6,6,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7915505.000000,4436222889851906,4436222890348804
6,6,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222889851906,4436222890348804
7,7,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7935633.000000,4436222891950680,4436222892449100
7,7,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222891950680,4436222892449100
8,8,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7959871.000000,4436222894069183,4436222894569726
8,8,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222894069183,4436222894569726
9,9,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7968059.000000,4436222896153005,4436222896657754
9,9,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222896153005,4436222896657754
10,10,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7949919.000000,4436222898228144,4436222898729207
10,10,2,1,676655,676655,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436222898228144,4436222898729207
